id,text
47,Your account is eligible for a special promotion! Check it out!
49,Your package is ready for delivery. Expect it soon!
17,Claim your free vacation now! Limited time offer! 🌴
53,Congratulations! You’ve been selected for a $500 gift card! Claim it now at winbig[.]com
156,Your package is waiting for you at the post office. Don't forget to pick it up! 📦
107,You have a new message from your bank. Log in to view details.
92,The final exam schedule has been posted. Check it out!
116,Your account has been compromised. Please verify your login immediately.
158,Meeting rescheduled to 3 PM. Please update your calendars!
42,The school fundraiser is next week. Please support us!
70,Your payment was declined. Please update your payment info.
160,🚨 Important: Verify your account to avoid suspension! Click here: verify[.]link
2,Congratulations! You’ve won a free iPhone! Claim it now at winbig[​.​]com
72,You have a new message from your bank. Please check your inbox.
19,Your package is ready for pickup. Visit us at our location!
162,You've been pre-approved for a loan! Don't miss out on this opportunity!
23,Looking forward to seeing you at the game this weekend! ⚽
100,Your package delivery is delayed. Please check the tracking link.
125,Congratulations! You’ve been pre-approved for a new credit card!
65,Urgent: Your account has been compromised. Click here to secure it now!
131,Just a reminder about the deadline for the project submission!
141,Thanks for your help with the project! It’s appreciated!
98,Cοngrɑtuⅼɑtіοns! Yοu’vе wοn ɑ $500 gіft ϲɑrd! Cⅼіϲk hеrе tο ϲⅼɑіm!
108,Just wanted to say thanks for your help with the presentation!
37,The meeting notes are attached. Please review before our next call.
86,Congratulations! You’ve won a free vacation! Click here to claim!
51,Hey! Just checking in on the project status. Let me know if you need anything! 😊
133,Congratulations! You’ve been selected for a luxury vacation!
69,We’re having a team-building event next month. Details to follow!
137,Your invoice is attached. Please pay by the due date.
36,Your account has been flagged for suspicious activity. Verify now!
135,Your account has been flagged for suspicious activity. Please log in to verify.
165,Reminder: Team meeting at 11 AM in the main conference room.
35,Don't forget the team outing next Friday! It'll be fun!
126,Looking forward to our collaboration! Let’s make it great!
61,We need to discuss the budget cuts in the next meeting. Please prepare your thoughts.
157,You've won a $500 gift card! Claim it now at winbig[.]com!
144,"Your subscription has been canceled. If this was a mistake, contact us."
50,You've been chosen for a special offer! Click here to learn more!
74,Congratulations! You’ve won a $1000 shopping spree! Click here to claim!
103,Congratulations! You’ve won a free cruise! Claim your prize at wincruise[.]com
22,Your account will be suspended unless you verify your login details!
54,Reminder: The meeting is at 3 PM tomorrow. Don’t forget!
150,Your account has been compromised. Please reset your password immediately.
